dataset,model,attack_type,attack_specific,repeat,output,risk_score,format_ok_has_score,format_ok_length,latency_sec,prompt_tokens,completion_tokens,error,timestamp
Smart Grid,qwen3:14b,data flood attack,8,1,"High packet flow rate (11,108 packets/sec) far exceeds normal thresholds (15.07), indicating potential DoS or scanning. MODBUS PDU length and structure may be anomalous. Risk Score: 9/10",9.0,True,True,18.67,409,622,,2026-08-19T08:14:13
Water Bottle Factory,phi4-mini,address scan,1,1,"The IP addresses are within the same subnet, indicating internal communication. Function Code 2.0 corresponds to reading holding registers in MODBUS. The packet flow rate is significantly higher than normal (80 packets/s vs. 34.84 packets/s). This could indicate a potential DoS attack or misconfiguration. Risk Score: 7/10.",7.0,True,False,27.1,228,71,,2026-08-19T08:14:43
Water Bottle Factory,phi4-mini,function code scan,2,1,The high flow rate (74.5 pps) significantly exceeds the normal threshold (34.84 pps). This suggests a potential DoS attack or misconfiguration. Risk Score: 9/10.,9.0,True,True,0.67,256,43,,2026-08-19T08:14:43
Water Bottle Factory,phi4-mini,device identification attack,3,1,"The high packet flow rate (42.75 pps) exceeds the normal threshold (34.84 pps). The Modbus function code 43 (Read Holding Registers) could indicate a data retrieval attempt. Given the unusual flow rate and potential data access, this activity could be malicious. Risk Score: 7/10.",7.0,True,False,0.91,255,67,,2026-08-19T08:14:44
Water Bottle Factory,phi4-mini,naive sensor read,4,1,"The packet flow rate is significantly higher than normal, indicating potential malicious activity. Risk Score: 8/10.",8.0,True,True,0.49,228,24,,2026-08-19T08:14:45
Water Bottle Factory,phi4-mini,force listen mode,6,1,"The packet flow rate is significantly higher than normal, indicating potential malicious activity. Risk Score: 8/10.",8.0,True,True,0.46,228,24,,2026-08-19T08:14:45
Water Bottle Factory,phi4-mini,restart communication,7,1,The packet flow rate is significantly higher than the baseline. This could indicate a potential DoS attack or unauthorized access. Risk Score: 8/10.,8.0,True,True,0.55,224,32,,2026-08-19T08:14:46
Water Bottle Factory,phi4-mini,data flood attack,8,1,The high packet flow rate (11157 packets/s) significantly exceeds the baseline (34.84 packets/s). This suggests a potential DoS attack or misconfiguration. Risk Score: 9/10.,9.0,True,True,0.62,254,42,,2026-08-19T08:14:47
Water Bottle Factory,qwen3:4b,address scan,1,1,Flow rate (80 pps) > threshold (34.84 pps) -> anomalous. Modbus function 2 (read) with PDU 0x000000 is standard. Risk Score: 3/10,3.0,True,True,67.73,259,4011,,2026-08-19T08:15:54
Water Bottle Factory,qwen3:4b,function code scan,2,1,Non-standard Modbus function code 91 and zero PDU indicate potential malicious activity. Flow rate (74.5 pps) exceeds threshold (34.84) but not 'much higher'. Risk Score: 8/10,8.0,True,True,37.49,294,3358,,2026-08-19T08:16:32
Water Bottle Factory,qwen3:4b,device identification attack,3,1,Flow rate (42.75 pps) exceeds threshold (34.84 pps). Risk Score: 4/10,4.0,True,True,60.55,301,5227,,2026-08-19T08:17:32
Water Bottle Factory,qwen3:4b,naive sensor read,4,1,Flow rate (46.75 pps) exceeds threshold (34.84 pps). Short Frame Time Delta (0.54 ms) indicates bursty traffic. Risk Score: 4/10,4.0,True,True,41.26,262,3628,,2026-08-19T08:18:14
Water Bottle Factory,qwen3:4b,force listen mode,6,1,Flow rate (47.5 pps) exceeds threshold (34.84 pps). Risk Score: 3/10,3.0,True,True,43.37,257,3829,,2026-08-19T08:18:57
Water Bottle Factory,qwen3:4b,restart communication,7,1,Modbus PDU empty (func 8) indicates malformed packet. Flow rate 37 pps (slightly above 34.84) but not critical. Risk Score: 7/10,7.0,True,True,34.01,254,3034,,2026-08-19T08:19:31
Water Bottle Factory,qwen3:4b,data flood attack,8,1,High flow rate (11157 pps) exceeds ICS threshold (34.84 pps) by 319x. Risk Score: 9/10,9.0,True,True,38.23,295,3373,,2026-08-19T08:20:09
Water Bottle Factory,gemma4:e4b,address scan,1,1,"The high packet flow rate (80.0 pps) significantly exceeds the normal baseline, suggesting potential scanning or a Denial of Service attempt on the MODBUS protocol. This rapid, sustained communication is highly suspicious for ICS operations.

Risk Score: 8/10",8.0,True,True,92.64,269,422,,2026-08-19T08:21:42
Water Bottle Factory,gemma4:e4b,function code scan,2,1,"High packet flow rate (74.5 pps) exceeds the normal threshold, indicating potential scanning or denial-of-service activity. The use of Function Code 91.0 is highly anomalous for standard Modbus operations, suggesting unauthorized or malicious protocol misuse.

Risk Score: 8/10",8.0,True,False,6.47,306,465,,2026-08-19T08:21:48
Water Bottle Factory,gemma4:e4b,device identification attack,3,1,"High packet flow rate (42.75 pps) exceeds the baseline, indicating potential flooding or reconnaissance. The use of an unusual Modbus Function Code (43.0) suggests non-standard or malicious communication targeting the critical device (192.168.0.1). This combination is highly suspicious.

Risk Score: 8/10",8.0,True,False,6.18,313,449,,2026-08-19T08:21:54
Water Bottle Factory,gemma4:e4b,naive sensor read,4,1,"The packet flow rate (46.75 pps) significantly exceeds the established baseline (34.84 pps). This high rate suggests potential network scanning, excessive polling, or a denial-of-service attempt targeting the MODBUS device. Immediate investigation is required.

Risk Score: 8/10",8.0,True,False,9.9,272,740,,2026-08-19T08:22:04
Water Bottle Factory,gemma4:e4b,force listen mode,6,1,"The packet flow rate (47.5 pps) significantly exceeds the established baseline (34.84 pps), indicating potential network flooding or rapid scanning activity. This high-volume traffic targeting a MODBUS device suggests a potential Denial of Service or reconnaissance attempt on critical ICS infrastructure.

Risk Score: 8/10",8.0,True,False,7.47,267,545,,2026-08-19T08:22:12
Water Bottle Factory,gemma4:e4b,restart communication,7,1,"High flow rate (37.0 pps) exceeds the threshold, indicating potential scanning or DoS. The empty Modbus PDU is highly suspicious, suggesting malformed or incomplete packets. This combination points to active reconnaissance or attack attempts.

Risk Score: 8/10",8.0,True,True,6.72,264,493,,2026-08-19T08:22:19
Water Bottle Factory,gemma4:e4b,data flood attack,8,1,"The extremely high packet flow rate (11157 pps) significantly exceeds normal operational thresholds, suggesting a potential network scan, reconnaissance, or Denial of Service attack targeting the MODBUS protocol.

Risk Score: 9/10",9.0,True,True,7.25,307,528,,2026-08-19T08:22:26
Water Bottle Factory,qwen3:8b,address scan,1,1,"High packet flow rate (80pps) exceeds the anomalous threshold (34.84pps), indicating potential scanning or denial-of-service activity. MODBUS Function Code 2 (read coils) at high frequency may target ICS devices. Risk Score: 7/10",7.0,True,True,56.59,259,555,,2026-08-19T08:23:22
Water Bottle Factory,qwen3:8b,function code scan,2,1,High packet flow rate (74.5 vs. 34.84) and non-standard Modbus function code (91) indicate potential exploitation. Risk Score: 9/10,9.0,True,True,10.77,294,618,,2026-08-19T08:23:33
Water Bottle Factory,qwen3:8b,device identification attack,3,1,High packet flow rate (42.75 pps) exceeds the anomalous threshold (34.84 pps). MODBUS function code 43 (uncommon) and low RTT suggest potential scanning or exploitation. Risk Score: 8/10.,8.0,True,True,9.05,301,518,,2026-08-19T08:23:42
Water Bottle Factory,qwen3:8b,naive sensor read,4,1,"The packet flow rate (46.75 packets/sec) exceeds the threshold (34.84), indicating potential DoS or scanning activity. Modbus function code 2.0 (Read Input Registers) is normal but amplified. Risk Score: 8/10.",8.0,True,True,9.18,262,528,,2026-08-19T08:23:51
Water Bottle Factory,qwen3:8b,force listen mode,6,1,"The packet exhibits a high flow rate (47.5 pps) and uses Modbus function code 8 (Diagnostic Request), which is non-standard and often associated with probing or attacks. This combination suggests potential malicious activity. Risk Score: 8/10",8.0,True,True,8.25,257,476,,2026-08-19T08:24:00
Water Bottle Factory,qwen3:8b,restart communication,7,1,"The Modbus function code 8.0 (Read Input Registers) is normal, but the packet flow rate (37 pps) slightly exceeds the example threshold (34.84 pps). While not extremely high, the marginal increase combined with short frame intervals (0.094s) suggests potential scanning or probing. Risk Score: 5/10",5.0,True,False,9.19,254,532,,2026-08-19T08:24:09
Water Bottle Factory,qwen3:8b,data flood attack,8,1,"The packet flow rate of 11,157 packets/sec far exceeds the normal threshold, indicating potential flooding or scanning. MODBUS traffic at such a rate suggests a severe disruption risk. Risk Score: 9/10",9.0,True,True,6.4,295,364,,2026-08-19T08:24:15
Water Bottle Factory,deepseek-r1:8b,address scan,1,1,"
The MODBUS packet with function code 2.0 (read discrete inputs) and empty PDU (0x000000) appears normal. However, the high packet flow rate of 80 PPS (compared to the stated normal threshold of 34.84) warrants attention. This could indicate scanning or probing activity.

Risk Score: 4/10",4.0,True,False,55.47,253,401,,2026-08-19T08:25:11
Water Bottle Factory,deepseek-r1:8b,function code scan,2,1,"
The packet flow rate is significantly higher than the stated normal threshold. The MODBUS function code 91.0 is unusual (not standard MODBUS range). The empty PDU (0x00000000) and short RTT suggest potential scanning or exploitation attempts. This combination indicates high-severity anomalous activity.

Risk Score: 9/10",9.0,True,False,6.79,288,386,,2026-08-19T08:25:18
Water Bottle Factory,deepseek-r1:8b,device identification attack,3,1,"
The packet flow rate of 42.75 packets per second significantly exceeds the stated normal threshold of 34.84. The MODBUS function code 43.0 is non-standard. These factors suggest potential scanning or DoS activity.

Risk Score: 7/10",7.0,True,True,8.04,295,459,,2026-08-19T08:25:26
Water Bottle Factory,deepseek-r1:8b,naive sensor read,4,1,"
The MODBUS function code 2.0 is typically used for read-only operations and is not inherently malicious. The MODBUS PDU `0x00007d0` appears standard. The flow rate, while high, is not exceptionally so compared to the provided anomalous threshold (34.84 vs. 46.75). This packet alone does not strongly indicate an intrusion.

Risk Score: 2/10",2.0,True,False,8.95,256,514,,2026-08-19T08:25:35
Water Bottle Factory,deepseek-r1:8b,force listen mode,6,1,"
The Modbus PDU of 0x0000 is unusual and potentially malformed or illegal. The packet flow rate of 47.5 pps significantly exceeds the normal threshold of 34.84 pps, indicating abnormal network activity. This requires investigation.

Risk Score: 7/10",7.0,True,True,9.36,251,539,,2026-08-19T08:25:44
Water Bottle Factory,deepseek-r1:8b,restart communication,7,1,"
The packet flow rate is 37.0 pps, exceeding the example threshold of 34.84 pps, indicating a potential high-volume attack. Function code 8.0 (Remote Function) is dangerous as it can disable devices or perform operations without authentication. This combination suggests a moderate to high threat level.

Risk Score: 7/10",7.0,True,False,9.52,248,546,,2026-08-19T08:25:53
Water Bottle Factory,deepseek-r1:8b,data flood attack,8,1,"
The packet itself appears normal (standard MODBUS function code 1.0). However, the extremely high network flow rate (11,157 pps) compared to the stated normal threshold (34.84 pps) indicates a potential DoS or network flooding attack. The flow rate anomaly is the primary concern.

Risk Score: 7/10",7.0,True,False,8.44,289,481,,2026-08-19T08:26:02
Water Bottle Factory,gemma4:12b,address scan,1,1,,,False,False,173.33,269,3827,,2026-08-19T08:28:55
Water Bottle Factory,gemma4:12b,function code scan,2,1,,,False,False,103.43,306,3790,,2026-08-19T08:30:39
Water Bottle Factory,gemma4:12b,device identification attack,3,1,,,False,False,102.93,313,3783,,2026-08-19T08:32:22
Water Bottle Factory,gemma4:12b,naive sensor read,4,1,,,False,False,104.28,272,3824,,2026-08-19T08:34:06
Water Bottle Factory,gemma4:12b,force listen mode,6,1,,,False,False,104.38,267,3829,,2026-08-19T08:35:50
Water Bottle Factory,gemma4:12b,restart communication,7,1,,,False,False,104.7,264,3832,,2026-08-19T08:37:35
Water Bottle Factory,gemma4:12b,data flood attack,8,1,,,False,False,103.81,307,3789,,2026-08-19T08:39:19
Water Bottle Factory,qwen3:14b,address scan,1,1,"The packet has a high flow rate (80 pps) and a malformed MODBUS PDU (0x000000), suggesting potential probing or DoS. Risk Score: 7/10.",7.0,True,True,103.41,259,631,,2026-08-19T08:41:02
Water Bottle Factory,qwen3:14b,function code scan,2,1,Anomalous behavior detected: invalid Modbus function code (91) and elevated flow rate (74.5 pps). Both indicate potential exploitation or scanning. Risk Score: 8/10,8.0,True,True,22.82,294,768,,2026-08-19T08:41:25
Water Bottle Factory,qwen3:14b,device identification attack,3,1,"High flow rate (42.75 > 34.84), non-standard MODBUS function code (43), and PDU inconsistency (0x02 vs 43) suggest potential exploitation. Risk Score: 9/10",9.0,True,True,22.9,301,771,,2026-08-19T08:41:48
Water Bottle Factory,qwen3:14b,naive sensor read,4,1,"The packet has a high flow rate (46.75 pps) and a very short time delta (0.00054s), suggesting rapid, potentially malicious traffic. MODBUS function code 2 is normal, but the PDU (0x00007d0) may indicate unusual data. Risk Score: 6/10",6.0,True,True,36.15,262,1212,,2026-08-19T08:42:24
Water Bottle Factory,qwen3:14b,force listen mode,6,1,"The packet uses non-standard MODBUS function code 8.0 with invalid PDU 0x0000, and flow rate (47.5 pps) exceeds the threshold (34.84 pps), indicating potential malicious activity. Risk Score: 7/10",7.0,True,True,32.17,257,1078,,2026-08-19T08:42:56
Water Bottle Factory,qwen3:14b,restart communication,7,1,"The packet has a slightly elevated flow rate (37 pps) and uses Modbus function code 8, which is an exception response. While not extremely high, the flow rate and function code combination may indicate a potential anomaly. Risk Score: 6/10.",6.0,True,True,36.87,254,1236,,2026-08-19T08:43:33
Water Bottle Factory,qwen3:14b,data flood attack,8,1,"Network flow rate (11,157 packets/sec) far exceeds the anomalous threshold (34.84), indicating potential DDoS or scanning. MODBUS PDU (0x002534) may request excessive data. Risk Score: 10/10",10.0,True,True,29.86,295,999,,2026-08-19T08:44:03
